credit_mode,allocator_arm,cost_bps,metric,mean,se,ci_low,ci_high,n
adaptation,explore_exploit_allocator,20.0,positive_day_ratio,0.524750499001996,0.004893273721409687,0.5151598587415367,0.5343411392624553,10
adaptation,explore_exploit_allocator,30.0,net_annualized_return,0.047985530807110946,0.011296066524565067,0.025845647251994876,0.07012541436222702,10
adaptation,explore_exploit_allocator,30.0,net_sharpe,0.38348741200720227,0.09820259883373793,0.1910138551048408,0.5759609689095637,10
adaptation,explore_exploit_allocator,30.0,max_drawdown,-0.16242046004223137,0.018887264078978522,-0.19943881740352637,-0.12540210268093638,10
adaptation,explore_exploit_allocator,30.0,turnover,0.09798403158783912,0.007101502998589827,0.08406534147449987,0.11190272170117838,10
adaptation,explore_exploit_allocator,30.0,gross_annualized_return,0.12206146020604378,0.01258268018313374,0.0973998602181158,0.14672306019397174,10
adaptation,explore_exploit_allocator,30.0,excess_annualized_return,-0.17584161395409997,0.011296066524565067,-0.19798149750921604,-0.1537017303989839,10
adaptation,explore_exploit_allocator,30.0,excess_information_ratio,-1.4693839062368022,0.0967068136451859,-1.6589257780409932,-1.2798420344326111,10
adaptation,explore_exploit_allocator,30.0,compounded_net_return,0.08025659587842827,0.02656508443483289,0.02818998713989023,0.1323232046169663,10
adaptation,explore_exploit_allocator,30.0,annualized_cost_drag,0.07407592788040637,0.005368736266933909,0.0635533981547219,0.08459845760609085,10
adaptation,explore_exploit_allocator,30.0,positive_day_ratio,0.5191616766467065,0.004417851044852707,0.5105028477097325,0.5278205055836805,10
adaptation,explore_exploit_allocator,50.0,net_annualized_return,-0.0013984226915543113,0.011795984283453294,-0.024518127049323282,0.021721281666214662,10
adaptation,explore_exploit_allocator,50.0,net_sharpe,0.010828865501255502,0.09220973353123671,-0.1698988912440038,0.19155662224651482,10
adaptation,explore_exploit_allocator,50.0,max_drawdown,-0.18214080253600443,0.020019503826285028,-0.2213783090238849,-0.14290329604812396,10
adaptation,explore_exploit_allocator,50.0,turnover,0.09798403158783912,0.007101502998589827,0.08406534147449987,0.11190272170117838,10
adaptation,explore_exploit_allocator,50.0,gross_annualized_return,0.12206146020604378,0.01258268018313374,0.0973998602181158,0.14672306019397174,10
adaptation,explore_exploit_allocator,50.0,excess_annualized_return,-0.22522556745276523,0.011795984283453298,-0.2483452718105342,-0.20210586309499626,10
adaptation,explore_exploit_allocator,50.0,excess_information_ratio,-1.8645024364442135,0.1007719889275541,-2.062011905392689,-1.6669929674957384,10
adaptation,explore_exploit_allocator,50.0,compounded_net_return,-0.020879683170254636,0.02558414326433787,-0.07102368254366988,0.0292643162031606,10
adaptation,explore_exploit_allocator,50.0,annualized_cost_drag,0.1234598798006773,0.008947893778223182,0.10592233025786983,0.14099742934348478,10
adaptation,explore_exploit_allocator,50.0,positive_day_ratio,0.5117764471057884,0.0042726798025289,0.50340214857536,0.5201507456362168,10
evidence,current_allocator,0.0,net_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,current_allocator,0.0,net_sharpe,0.8875257339728897,0.09497097027934827,0.7013860526485431,1.0736654152972362,10
evidence,current_allocator,0.0,max_drawdown,-0.14152777568926914,0.011652241911564078,-0.16436575017508287,-0.11868980120345539,10
evidence,current_allocator,0.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,current_allocator,0.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,current_allocator,0.0,excess_annualized_return,-0.08441959517620877,0.019345976851355536,-0.1223370130506112,-0.04650217730180633,10
evidence,current_allocator,0.0,excess_information_ratio,-0.7032463323030141,0.15939383613054842,-1.0156525104765683,-0.39084015412946005,10
evidence,current_allocator,0.0,compounded_net_return,0.29283421457792996,0.05152873893336637,0.191839742099765,0.3938286870560949,10
evidence,current_allocator,0.0,annualized_cost_drag,0.0,0.0,0.0,0.0,10
evidence,current_allocator,0.0,positive_day_ratio,0.5287425149700599,0.005664741146036803,0.5176398263420856,0.5398452035980341,10
evidence,current_allocator,5.0,net_annualized_return,0.1269408427895822,0.018999604005227322,0.0897023032188137,0.1641793823603507,10
evidence,current_allocator,5.0,net_sharpe,0.8059256021298195,0.09369046076572496,0.6222956733340356,0.9895555309256033,10
evidence,current_allocator,5.0,max_drawdown,-0.14514365856053502,0.012187266411838704,-0.16903026179773356,-0.12125705532333646,10
evidence,current_allocator,5.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
