seed,credit_mode,allocator_arm,config_id,cost_bps,n_days,gross_annualized_return,net_annualized_return,net_sharpe,compounded_net_return,max_drawdown,excess_annualized_return,excess_information_ratio,turnover,annualized_cost_drag,positive_day_ratio
2026073008,adaptation,current_allocator,sm20_rb10_k20_drop2,20.0,501,0.11567252419945359,0.07613719456132652,0.7354522049791375,0.15109627915826418,-0.09676779159181914,-0.14768995019988437,-1.2998746692018213,0.07844310998916626,0.039535327434539795,0.5389221556886228
2026073008,adaptation,current_allocator,sm20_rb10_k20_drop2,30.0,501,0.11567252419945359,0.05636952927381332,0.5424943308882776,0.10665765415653428,-0.10183152890511482,-0.16745761548739763,-1.4727867541102273,0.07844310998916626,0.05930299115180969,0.530938123752495
2026073008,adaptation,current_allocator,sm20_rb10_k20_drop2,50.0,501,0.11567252419945359,0.016834199284348983,0.1601791351372451,0.022760522569670538,-0.11188664098350809,-0.20699294547686195,-1.8116464571948,0.07844310998916626,0.09883831858634949,0.5269461077844312
2026073009,adaptation,current_allocator,sm20_rb10_k20_drop2,0.0,501,0.12640041416526643,0.12640041416526643,0.6546969491459012,0.23890542339633147,-0.21558138590852216,-0.0974267305959445,-0.8054050274496473,0.13193611800670624,0.0,0.5189620758483033
2026073009,adaptation,current_allocator,sm20_rb10_k20_drop2,5.0,501,0.12640041416526643,0.1097764617043952,0.5679979189193427,0.19854963407329773,-0.22590524864731942,-0.11405068305681572,-0.9416056553093971,0.13193611800670624,0.016623950868844987,0.5189620758483033
2026073009,adaptation,current_allocator,sm20_rb10_k20_drop2,10.0,501,0.12640041416526643,0.09315250924352399,0.48134917762280527,0.15948224163522196,-0.23610042398769648,-0.13067463551768693,-1.0767069229197184,0.13193611800670624,0.033247901737689975,0.5169660678642715
2026073009,adaptation,current_allocator,sm20_rb10_k20_drop2,20.0,501,0.12640041416526643,0.059904604321781546,0.30848460151294077,0.08505268817921219,-0.2561107538915841,-0.16392254043942936,-1.342550631924434,0.13193611800670624,0.06649580347537995,0.5149700598802395
2026073009,adaptation,current_allocator,sm20_rb10_k20_drop2,30.0,501,0.12640041416526643,0.02665670098105677,0.13665660457706333,0.015308970105879727,-0.2756242905017183,-0.19717044378015414,-1.6009495841362873,0.13193611800670624,0.09974370521306991,0.5089820359281437
2026073009,adaptation,current_allocator,sm20_rb10_k20_drop2,50.0,501,0.12640041416526643,-0.039839112492913095,-0.20179820276580815,-0.11126031320085861,-0.3132073484482676,-0.26366625725412396,-2.088817691987424,0.13193611800670624,0.16623950868844986,0.5029940119760479
2026073010,adaptation,current_allocator,sm20_rb10_k20_drop2,0.0,501,0.06767973401347277,0.06767973401347277,0.6763840617792458,0.13269395803477235,-0.09862269121961387,-0.15614741074773814,-1.5561691625123488,0.068263478577137,0.0,0.5349301397205589
2026073010,adaptation,current_allocator,sm20_rb10_k20_drop2,5.0,501,0.06767973401347277,0.05907853619777459,0.59003350928674,0.1134791354640059,-0.10441353207653326,-0.16474860856343632,-1.6433658351764573,0.068263478577137,0.008601198300719261,0.5349301397205589
2026073010,adaptation,current_allocator,sm20_rb10_k20_drop2,10.0,501,0.06767973401347277,0.05047733838207641,0.5036523439049372,0.09458333615241266,-0.11067211644623642,-0.1733498063791345,-1.7302219332573274,0.068263478577137,0.017202396601438522,0.5329341317365269
2026073010,adaptation,current_allocator,sm20_rb10_k20_drop2,20.0,501,0.06767973401347277,0.03327494275068007,0.3310971198910738,0.05772816200560338,-0.12306532016949578,-0.19055220201053083,-1.9026071725032627,0.068263478577137,0.034404793202877045,0.5249500998003992
2026073010,adaptation,current_allocator,sm20_rb10_k20_drop2,30.0,501,0.06767973401347277,0.016072547338869498,0.15930837732238395,0.02208796088641618,-0.13529495406036585,-0.2077545974223414,-2.0727250496517473,0.068263478577137,0.05160718980431557,0.5149700598802395
2026073010,adaptation,current_allocator,sm20_rb10_k20_drop2,50.0,501,0.06767973401347277,-0.01833224471443205,-0.17971558139155508,-0.04570308348469432,-0.1592716454810853,-0.24215938947564294,-2.40389015449634,0.068263478577137,0.08601198300719261,0.5069860279441117
2026073001,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,0.0,501,0.1452766236710785,0.1452766236710785,1.2097368382421447,0.31575144303214064,-0.1461195808179132,-0.07855052109013244,-0.7220730709478002,0.132534921169281,0.0,0.5409181636726547
2026073001,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,5.0,501,0.1452766236710785,0.12857722204627103,1.0692195147691643,0.27275679402441977,-0.14834135398765247,-0.09524992271493991,-0.8764111861163634,0.132534921169281,0.016699400067329406,0.5349301397205589
2026073001,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,10.0,501,0.1452766236710785,0.11187782042146356,0.9284260957075042,0.23113909129835553,-0.15055880130633537,-0.11194932433974737,-1.030141824860373,0.132534921169281,0.03339880013465881,0.5289421157684631
2026073001,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,20.0,501,0.1452766236710785,0.0784790171718486,0.6472213814938841,0.15186304548164165,-0.15498074079098056,-0.14534812758936233,-1.334178697457729,0.132534921169281,0.06679760026931762,0.5229540918163673
2026073001,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,30.0,501,0.1452766236710785,0.045080214302849024,0.3684798600839532,0.07759338282146677,-0.1599000147228299,-0.1787469304583619,-1.631097471987935,0.132534921169281,0.10019640040397644,0.5169660678642715
2026073001,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,50.0,501,0.1452766236710785,-0.021717394597185493,-0.17308179156408277,-0.0571477435134401,-0.20421420322394757,-0.2455445393583964,-2.1928211455985274,0.132534921169281,0.16699400067329406,0.5109780439121756
2026073002,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,0.0,501,0.11708316205407478,0.11708316205407478,0.9609551695689388,0.24358944899939527,-0.15068731182748396,-0.10674398270713609,-0.8573284962888418,0.10698602348566055,0.0,0.5568862275449101
2026073002,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,5.0,501,0.11708316205407478,0.10360292244912368,0.8503087529719926,0.21071582748730022,-0.15395901803105683,-0.12022422231208718,-0.9666512492690302,0.10698602348566055,0.01348023895919323,0.5528942115768463
2026073002,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,10.0,501,0.11708316205407478,0.09012268284417257,0.739323085582749,0.17869348788418815,-0.1572199751583011,-0.1337044619170383,-1.0757366354152855,0.10698602348566055,0.02696047791838646,0.5449101796407185
2026073002,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,20.0,501,0.11708316205407478,0.06316220363427036,0.5169516485943199,0.11711684624369467,-0.16370975924477726,-0.16066494112694052,-1.2926109600381792,0.10698602348566055,0.05392095583677292,0.5409181636726547
2026073002,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,30.0,501,0.11708316205407478,0.03620172460003677,0.29507096475151656,0.05869318775176735,-0.1701568978201483,-0.1876254201611741,-1.5068001130712168,0.10698602348566055,0.08088143375515938,0.5329341317365269
2026073002,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,50.0,501,0.11708316205407478,-0.017719234053992523,-0.14248617399469318,-0.04932010654036023,-0.18292416600310646,-0.24154637881520338,-1.9227893711157547,0.10698602348566055,0.13480238959193228,0.5209580838323353
2026073003,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,0.0,501,0.06934747857585867,0.06934747857585867,0.32224235644371974,0.09627126443157974,-0.22725660316339713,-0.1544796661853522,-0.9325794979829297,0.08303392678499222,0.0,0.5069860279441117
2026073003,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,5.0,501,0.06934747857585867,0.05888520289332841,0.27363344612700313,0.07370878472111753,-0.2295918746664518,-0.16494194186788247,-0.9962807619509887,0.08303392678499222,0.01046227477490902,0.5049900199600799
2026073003,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,10.0,501,0.06934747857585867,0.04842292721079814,0.22500119444138542,0.05160080495275299,-0.23192112892682448,-0.17540421755041274,-1.0598854145466177,0.08303392678499222,0.02092454954981804,0.5029940119760479
2026073003,adaptation,explore_exploit_allocator,sm20_rb10_k20_drop2,20.0,501,0.06934747857585867,0.02749837584573762,0.12772080636163435,0.00871268854688223,-0.23656163710011013,-0.1963287689154733,-1.1866842418203725,0.08303392678499222,0.04184909909963608,0.500998003992016
